CAS Diameter, Qscat (1.54 + 0)
   7.86,  12.656162262
   7.87, 12.1829986572
   7.88, 12.3140039444
   7.89, 12.3685131073
    7.9, 12.3973760605
   7.91, 12.3945198059
   7.92, 12.3003311157
   7.93, 12.1294841766
   7.94, 11.9270906448
   7.95,  11.623664856
   7.96, 11.5879850388
   7.97, 11.5517482758
   7.98, 11.4696550369
   7.99,  11.438782692
      8, 11.4286623001
   8.01,  11.401134491
   8.02, 11.3069019318
   8.03, 11.0170516968
   8.04, 11.1172475815
   8.05, 11.1393566132
   8.06, 11.2499284744
   8.07, 11.3494281769
   8.08, 11.2991600037
   8.09, 11.1479110718
    8.1, 10.9304447174
   8.11, 10.5263605118
   8.12, 10.7445964813
   8.13, 10.5063743591
   8.14, 10.3514738083
   8.15, 10.2575054169
   8.16, 10.1917543411
   8.17, 10.1091108322
   8.18,  9.9409570694
   8.19, 9.86678886414
    8.2, 9.88216972351
   8.21, 9.83072757721
   8.22, 9.99518585205
   8.23, 10.2195110321
   8.24, 10.2532625198
   8.25, 10.1569042206
   8.26, 9.99634456635
   8.27, 9.45014381409
   8.28, 10.0489454269
   8.29, 9.88180541992
    8.3, 9.78748512268
   8.31, 9.74690055847
   8.32, 9.72759151459
   8.33, 9.67392444611
   8.34,  9.4564781189
   8.35, 9.63836956024
   8.36, 9.53347873688
   8.37, 9.39787769318
   8.38, 9.54611778259
   8.39, 9.85697650909
    8.4, 9.92760848999
   8.41, 9.83961486816
   8.42, 9.67165088654
   8.43, 10.0363922119
   8.44, 9.89057445526
   8.45, 9.82391643524
   8.46, 9.80887794495
   8.47, 9.84626102448
   8.48, 9.90497398376
   8.49, 9.93521595001
    8.5,   9.702085495
   8.51, 10.1186113358
   8.52,  10.004076004
   8.53, 9.86746692657
   8.54, 10.0052909851
   8.55, 10.4183740616
   8.56, 10.5676527023
   8.57, 10.5088443756
   8.58, 10.2621984482
   8.59, 10.6775054932
    8.6, 10.6248893738
   8.61, 10.6183691025
   8.62, 10.6359109879
   8.63, 10.6935634613
   8.64, 10.7769899368
   8.65, 10.8240299225
   8.66, 10.4385957718
   8.67, 11.0159139633
   8.68, 10.9303922653
   8.69, 10.8007001877
    8.7, 10.8860225677
   8.71, 11.3448295593
   8.72, 11.5830135345
   8.73, 11.6035051346
   8.74, 10.6300163269
   8.75, 11.8303852081
   8.76, 11.9125156403
   8.77, 12.0126647949
   8.78, 12.1128253937
   8.79, 12.2236061096
    8.8, 12.3292732239
   8.81, 12.3734207153
   8.82, 11.5421915054
   8.83, 12.4518098831
   8.84, 12.3402805328
   8.85,  12.178478241
   8.86, 12.1523218155
   8.87, 12.5137996674
   8.88,  12.722038269
   8.89, 12.7479724884
    8.9, 12.9537878036
   8.91, 12.9893093109
   8.92, 13.1186580658
   8.93, 13.2933607101
   8.94, 13.4907274246
   8.95, 13.6991109848
   8.96,  13.884970665
   8.97,  13.974234581
   8.98, 13.9908323288
   8.99, 14.0704278946
      9, 13.9627904892
   9.01, 13.8017082214
   9.02, 13.7401819229
   9.03, 13.9788255692
   9.04, 14.0579528809
   9.05, 13.8761701584
   9.06, 14.1490840912
   9.07, 14.1427755356
   9.08, 14.1910896301
   9.09, 14.3010969162
    9.1, 14.4717636108
   9.11, 14.6897764206
   9.12, 14.8909654617
   9.13, 14.9349002838
   9.14, 15.1030797958
   9.15, 15.0439596176
   9.16, 14.9160194397
   9.17, 14.7548933029
   9.18, 14.7590322495
   9.19, 14.9974517822
    9.2, 14.9801664352
   9.21, 15.0968284607
   9.22, 15.0184383392
   9.23,  15.001039505
   9.24, 14.9949140549
   9.25, 14.9946193695
   9.26, 15.0529584885
   9.27, 15.1860818863
   9.28, 15.3137159348
   9.29, 14.5940675735
    9.3, 15.3485221863
   9.31, 15.1646928787
   9.32,  14.909365654
   9.33, 14.6128129959
   9.34, 14.5894699097
   9.35, 14.8381185532
   9.36, 14.6551914215
   9.37, 14.7182350159
   9.38, 14.6488018036
   9.39, 14.5997943878
    9.4, 14.6647453308
   9.41, 14.6692228317
   9.42, 14.6850605011
   9.43, 14.7891721725
   9.44,   14.90147686
   9.45, 14.9843959808
   9.46, 14.8564443588
   9.47, 14.5890054703
   9.48,  14.213514328
   9.49, 13.7388744354
    9.5, 13.5901145935
   9.51, 13.7951879501
   9.52, 13.6393861771
   9.53, 13.4033117294
   9.54, 13.2277650833
   9.55, 13.0819072723
   9.56, 13.0834875107
   9.57, 13.1102151871
   9.58, 13.0988264084
   9.59, 13.1926832199
    9.6, 13.3143510818
   9.61, 13.4899559021
   9.62, 13.4399271011
   9.63, 13.2479486465
   9.64, 12.9326982498
   9.65, 12.4624824524
   9.66, 12.3377313614
   9.67, 12.5303859711
   9.68, 12.3467531204
   9.69, 12.1334505081
    9.7,  11.919875145
   9.71, 11.6685018539
   9.72, 11.5532360077
   9.73, 11.5732030869
   9.74, 11.5088119507
   9.75, 11.5479812622
   9.76, 11.6782531738
   9.77, 11.8737182617
   9.78, 11.9016141891
   9.79, 11.8151464462
    9.8, 11.6289720535
   9.81, 11.2815685272
